ID_PUBLISHER;PUBLISHER;HEADQUARTERS_COUNTRY;HEADQUARTERS_CITY;CREATION_DATE;NOTES
frontwing;Front Wing;Japan;;01/01/2000;""
ftlgames;FTL Games;United States;San Diego;01/01/1982;"Defunct in 1996."
fujisankeicommunicationsinternational;Fujisankei Communications International;United States;New York;01/01/1986;"No longer publishes video games"
fujitsu;Fujitsu;Japan;Tokyo;01/01/1935;"No longer publishes video games."
fullongames;Full On Games;Japan;Tokyo;01/01/1996;"Also known as FOG."
funcom;Funcom;Norway;Oslo;01/01/1993;"Also a video game developer."
futuregames;Future Games;Czech Republic;Beroun;01/01/1996;"Defunct in 2011."
fuuki;Fuuki;Japan;Kyoto;01/01/1977;"No longer publishes video games."
gcollections;G-Collections;Nevada;Las Vegas;01/01/2001;"Acquired by JAST USA in 2005; defunct in 2015."
grev;G.rev;Japan;;01/01/2000;""
gaelco;Gaelco;Spain;Barcelona;01/01/1981;"Dissolved in 2007"
gaijinworks;Gaijinworks;United States;Redding;01/01/2006;""
gainax;Gainax;Japan;Tokyo;01/01/1984;"No longer publishes video games."
gakken;Gakken;Japan;Tokyo;01/01/1947;"No longer publishes video games."
gamecock;Gamecock;United States;Austin;01/01/2007;"Acquired by SouthPeak Games."
gameloft;Gameloft;France;Paris;01/01/2000;""
gamesbyapollo;Games by Apollo;United States;Richardson;01/01/1981;"Defunct in 1983."
gamesworkshop;Games Workshop;UK;Nottingham;01/01/1975;"Ceased publishing video games in 1985."
gametek;GameTek;United States;North Miami Beach;01/01/1987;"Publishing label of IJE. Defunct in 1998."
gamearts;Game Arts;Japan;Tokyo;01/01/1985;"Acquired by GungHo Online Entertainment in 2005 and their games are now published by GungHo Online Entertainment."
thegamefactory;The Game Factory;Denmark;Aarhus;01/01/2004;"Defunct."
gamepark;Game Park;South Korea;;01/01/1996;"Defunct in 2007."
gamestudio;Game Studio;Japan;Tokyo;01/01/1985;"Defunct in 2015."
gargoylegames;Gargoyle Games;UK;Dudley;01/01/1983;"Defunct in 1987."
gatheringofdevelopers;Gathering of Developers;United States;Austin;01/01/1998;"Acquired by Take Two Interactive in 2000; renamed to Gathering. Defunct in 2004."
gearboxsoftware;Gearbox Software;United States;Frisco;01/01/1999;""
generalentertainment;General Entertainment;Japan;Tokyo;01/01/1994;"Defunct in 2011."
genki;Genki;Japan;Tokyo;01/01/1990;""
ghostlight;Ghostlight;UK;Braintree;01/01/2004;""
globalstarsoftware;Global Star Software;Canada;Ontario;01/01/1992;"Publishing label of Take-Two Interactive, name retired."
gatheringofdevelopers;Gathering of Developers;United States;Texas;01/01/1988;"Acquired by Take-Two Interactive, name retired."
gebellisoftware;Gebelli Software;United States;;01/01/1982;"Defunct in 1984."
giga;Giga;Japan;;01/01/1993;""
gizmondo;Gizmondo;Sweden;;01/01/2000;"Known as Tiger Telematics until 2004. Defunct in 2006."
globalaentertainment;Global A Entertainment;Japan;Tokyo;01/01/1997;"Renamed to GAE, Inc. in 2009."
globalvr;Global VR;United States;San Jose;01/01/1998;""
gnsoftware;GN Software;Japan;;01/01/2003;"Label of Good Navigate."
gogltd;GOG Ltd;Poland;Warsaw;01/01/2008;"Also a digital distribution service."
gogiigames;Gogii Games;Canada;Moncton;01/01/2006;"Also a video game developer."
gothamgames;Gotham Games;United States;New York City;01/01/2002;"Label of Take-Two Interactive. Defunct in 2003."
gottlieb;Gottlieb;United States;Chicago;01/01/1927;"Defunct in 1996."
gotgameentertainment;Got Game Entertainment;United States;Weston;01/01/2002;""
grandslamentertainment;Grandslam Entertainment;UK;Croydon;01/01/1987;"Defunct in 1995."
graphsimentertainment;Graphsim Entertainment;Texas;Addison;01/01/1992;"Also known as Graphic Simulations."
gravity;Gravity;Republic of Korea;Seoul;01/01/2013;"Also a video game developer. Subsidy of GungHo Online Entertainment."
greatwavesoftware;Great Wave Software;United States;Scotts Valley;01/01/1984;"Defunct."
gremlinindustries;Gremlin Industries;United States;San Diego;01/01/1973;"Acquired by Bally in 1984."
gremlininteractive;Gremlin Interactive;UK;Sheffield;01/01/1984;"Acquired by Atari, SA née Infogrames, name retired."
grolierinteractiveinc;Grolier Interactive Inc;United States;New York City;01/01/1982;"Known as Grolier Electronic Publishing Inc until 1996. Acquired by Scholasttic in 1999."
groovegames;Groove Games;Canada;Toronto;01/01/2001;"Defunct in 2009."
gscworldpublishing;GSC World Publishing;Ukraine;Kiev;01/01/2004;""
gteinteractivemedia;GTE Interactive Media;United States;Carlsbad;01/01/1990;"Software publishing arm of GTE. Defunct in 1997."
gtinteractive;GT Interactive;United States;New York City;01/01/1993;"Acquired by Atari, SA née Infogrames."
gunghoonlineentertainment;GungHo Online Entertainment;Japan;Tokyo;01/01/1998;""
gustcoltd;Gust Co. Ltd.;Japan;Nagano;01/01/1993;"Acquired by Koei Tecmo in 2011 and their games are now published by Koei Tecmo."
hackerinternational;Hacker International;Japan;;01/01/1990;"Defunct in 2001."
haikuosoft;Haikuo Soft;Japan;;01/01/2001;""
hallaboratory;HAL Laboratory;Japan;Tokyo;01/01/1980;"No longer publishes video games."
hamstercorporation;Hamster Corporation;Japan;Tokyo;01/01/1999;""
hanbitsoft;HanbitSoft;South Korea;;01/01/1999;"Acquired by T3 Entertainment."
hasbrointeractive;Hasbro Interactive;United States;California;01/01/1995;"Assets acquired by Atari, SA née Infogrames in 2000, no staff retained"
hect;Hect;Japan;;01/01/1988;"Defunct in 2002."
herinteractive;HeR Interactive;United States;Bellevue;01/01/1995;"Also a video game developer."
heurekaklett;Heureka-Klett;Germany;;01/01/1996;"Defunct."
hitechexpressions;Hi Tech Expressions;United States;;01/01/1988;""
hewsonconsultants;Hewson Consultants;UK;;01/01/1981;"Defunct in 1991."
hirameki;Hirameki;United States;Diamond Bar;01/01/2000;"Ceased publishing video games in 2008."
hodderstoughton;Hodder & Stoughton;UK;London;01/01/1868;"No longer publishes video games."
homeentertainmentsuppliers;Home Entertainment Suppliers;Australia;Sydney;01/01/1984;"Also known as HES."
hooksoft;Hooksoft;Japan;Tokyo;01/01/2000;""
hopelab;HopeLab;United States;Redwood City;01/01/2001;""
houghtonmifflinharcourt;Houghton Mifflin Harcourt;United States;Boston;01/01/1832;"Publishes games through its software division, Houghton Mifflin Harcourt Learning Technology, which was known as Riverdeep PLC until its acquisition of Houghton Mifflin in 2006, and then as Houghton Mifflin Riverdeep Group until 2007."
hudsonsoft;Hudson Soft;Japan;Minato;01/01/1973;"Also a video game developer. Acquired by Konami."
humanengineeredsoftware;Human Engineered Software;United States;Brisbane;01/01/1980;"Acquired by Avant Garde Publishing Corp. in 1984."
humanentertainment;Human Entertainment;Japan;Tokyo;01/01/1983;"Defunct in 2000."
humblebundle;Humble Bundle;US;San Francisco;01/01/2010;"Acquired by IGN Entertainment"
hummingbirdsoft;HummingBirdSoft;Japan;;01/01/1982;"Defunct."
humongousentertainment;Humongous Entertainment;United States;City of Industry;01/01/1992;"Defunct in 2004. Since reestablished, but no longer self-publishes."
ibm;IBM;United States;Armonk;01/01/1911;""
iceberginteractive;Iceberg Interactive;The Netherlands;Haarlem;01/01/2009;""
icomsimulations;ICOM Simulations;United States;Wheeling;01/01/1981;"Acquired by Viacom New Media in 1993, reformed as Rabid Entertainment in 1997, and closed in 1998."
ideafactory;Idea Factory;Japan;Tokyo;01/01/1994;""
idsoftware;id Software;United States;Richardson;01/01/1991;"Acquired by ZeniMax Media in 2009."
ignitionentertainment;Ignition Entertainment;UK;Essex;01/01/2002;"Acquired by The Walt Disney Company"
illusionsoft;Illusion Soft;Japan;Yokohama;01/01/2001;""
imageepoch;Imageepoch;Japan;Tokyo;01/01/2005;"Defunct in 2015."
imageworks;Image Works;UK;;01/01/1988;"Label of Mirrorsoft. Last game published in 1991."
imagic;Imagic;United States;California;01/01/1981;"Also a video game developer."
imaginesoftware;Imagine Software;UK;Liverpool;01/01/1982;"Defunct in 1984; rights bought by Ocean Software, which continued to use the Imagine name as a label on some games."
impressionsgames;Impressions Games;United States;Cambridge;01/01/1989;"Acquired by Sierra in 1995; defunct in 2004."
incentivesoftware;Incentive Software;UK;Reading;01/01/1983;"Reformed as Superscape in 1992."
incredibletechnologies;Incredible Technologies;United States;Vernon Hills;01/01/1985;""
index;index+;France;;01/01/1992;"Merged with France Telecom Multimedia in 2000 to become Wanadoo Edition."
indiepubentertainment;indiePub Entertainment;United States;Cincinnati;01/01/2008;""
infocom;Infocom;United States;Cambridge;01/01/1979;"Acquired by Activision, name retired."
infogrames;Infogrames;France;Lyon;01/01/1983;"(Renamed Atari, SA)"
innerprisesoftware;Innerprise Software;United States;Hunt Valley;01/01/1989;"Defunct in 1992."
inscape;Inscape;United States;Los Angeles;01/01/1994;"Acquired by Graphix Zone in early 1997, which ceased operations in November 1997."
intellivisionproductions;Intellivision Productions;United States;;01/01/1997;""
interactivemagic;Interactive Magic;United States;Cary;01/01/1994;"Changed name to iEntertainment Network in 1999."
interceptormicros;Interceptor Micros;UK;Tadley;01/01/1982;"Also a video game developer. Defunct in 1992."
interchannel;Interchannel;Japan;Tokyo;01/01/1931;"Subsidiary of NEC until 2004. No longer publishes video games."
internationalgamessystem;International Games System;Taiwan;New Taipei City;01/01/1989;""
interplayentertainment;Interplay Entertainment;United States;Beverly Hills;01/01/1983;"Also a video game developer. Acquired by Titus Interactive, closed and reopened as an independent publisher."
introversionsoftware;Introversion Software;UK;Walton-on-Thames;01/01/2001;""
intvcorporation;INTV Corporation;United States;;01/01/1984;"Defunct in 1990."
inxileentertainment;inXile Entertainment;United States;Newport Beach;01/01/2002;"Also a video game developer; acquired by Microsoft in 2018."
ique;iQue;China;Suzhou;01/01/2002;"Joint venture between Wei Yen and Nintendo."
irem;Irem;Japan;Tokyo;01/01/1997;"Also a video game developer. Dissolved video game subsidiary in 2011."
itemedia;ITE Media;Denmark;Copenhagen;01/01/1998;"Software publishing arm of Interactive Television Entertainment. Acquired by NDS Group in 2006; defunct in 2010."
jkgreyesoftware;J.K. Greye Software;UK;Bath;01/01/1981;"Reformed as J.K. Greye Enterprises Ltd in 1983."
jaleco;Jaleco;Japan;;01/01/1974;"Also a video game developer."
jastusa;JAST USA;United States;San Diego;01/01/1996;""
jesterinteractive;Jester Interactive;UK;Wales;01/01/1997;""
johnsonjohnson;Johnson & Johnson;United States;New Brunswick;01/01/1886;"No longer publishes video games."
jowoodproductions;JoWooD Productions;Austria;Liezen;01/01/1995;"Folded into Nordic Games in 2011."
jumpstartgamesformerlyknowledgeadventure;JumpStart Games (formerly Knowledge Adventure);United States;Los Angeles;01/01/1989;"Acquired by NetDragon Websoft."
k2networkgamersfirst;K2 Network (Gamersfirst);United States;Irvine;01/01/2001;"Merged with Reloaded Games"
kalistoentertainment;Kalisto Entertainment;France;Bordeaux;01/01/1990;"Label of Atreid Concept until 1996, when it became the name of the company as a whole. Defunct in 2002."
kalypsomedia;Kalypso Media;Germany;Worms;01/01/2006;""
kaneko;Kaneko;Japan;Tokyo;01/01/1980;""
kaypro;Kaypro;United States;San Diego;01/01/1981;"Defunct in 1992; reestablished in 1999; defunct again in 2001."
kemco;Kemco;Japan;;01/01/1984;"Also a video game developer."
kinggames;King Games;Florida;Miami;01/01/2006;"Label of Burger King used for a 2006 advergame promotion."
kid;KID;Japan;Tokyo;01/01/1988;"Defunct in 2006."
kingsoft;Kingsoft;Germany;Aachen;01/01/1983;"Acquired by Electronic Arts in 1983; defunct in 2000."
kingrecords;King Records;Japan;Tokyo;01/01/1931;"No longer publishes video games."
kochmedia;Koch Media;Germany;;01/01/1994;"Bought by THQ Nordic February 2018"
kodansha;Kodansha;Japan;Tokyo;01/01/1938;"No longer publishes video games."
koei;Koei;Japan;Ashikaga;01/01/1976;"Also a video game developer. Merged into Tecmo Koei."
koeitecmo;Koei Tecmo;Japan;;01/01/2009;"Changed name from Tecmo Koei in 2014."
kogadostudio;Kogado Studio;Japan;Tokyo;01/01/1916;""
konami;Konami;Japan;Tokyo;01/01/1969;""
krisalissoftware;Krisalis Software;UK;Rotherham;01/01/1987;"Defunct in 2001."
kss;KSS;Japan;;01/01/1990;"Exited the video game industry in 2001."
kuresoftwarekoubou;Kure Software Koubou;Japan;;01/01/1985;"Also known as KSK."
lacryma;La'cryma;Japan;;01/01/2006;""
lankhor;Lankhor;France;Paris;01/01/1987;"Defunct in 2001."
lelombard;Le Lombard;Belgium;;01/01/1946;"No longer publishes video games."
legacyinteractive;Legacy Interactive;United States;Hollywood;01/01/1998;"Also a video game developer."
legendoentertainment;Legendo Entertainment;Sweden;Gothenburg;01/01/1998;"Known as Iridon Interactive until 2005."
legendentertainment;Legend Entertainment;United States;Chantilly;01/01/1989;"Acquired by GT Interactive in 1998; defunct in 2004."
legointeractive;Lego Interactive;UK;London;01/01/1996;"Publishing arm of Lego Group. Known as Lego Media until 2000, and Lego Software from then until 2002. Defunct in 2005."
lelandcorporation;Leland Corporation;United States;El Cajon;01/01/1987;"Renamed to Leland Interactive Media in 1993. Acquired by WMS Industries in 1994."
level5;Level-5;Japan;Fukuoka;01/01/1998;""
level9computing;Level 9 Computing;UK;;01/01/1981;"Defunct in 1991."
linuxgamepublishing;Linux Game Publishing;UK;Nottingham;01/01/2001;"inactive"
lighthouseinteractive;Lighthouse Interactive;The Netherlands;Haarlem;01/01/2005;"Acquired by SilverBirch Inc. in 2008; defunct in 2009."
ljn;LJN;United States;New York City;01/01/1970;"Acquired by Acclaim Entertainment."
lkavalon;LK Avalon;Poland;Świlcza;01/01/1989;""
llamasoft;Llamasoft;UK;Wales;01/01/1981;""
locknloadpublishing;Lock 'n Load Publishing;US;Pueblo;01/01/2006;""
logotronltd;Logotron Ltd;UK;Cambridge;01/01/1987;"Published last game in 1990."
lokisoftware;Loki Software;United States;Tustin;01/01/1998;""
loriciel;Loriciel;France;;01/01/1983;"Defunct in 1995."
lucasarts;LucasArts;United States;San Francisco;01/01/1982;"Acquired by The Walt Disney Company (originally Lucasfilm Games LLC) and they changed from publisher to licensor."
lumpofsugar;Lump of Sugar;Japan;;01/01/2005;""
macplay;MacPlay;United States;Dallas;01/01/1993;"Label of Interplay until 1997. Revived in 2000 as a label of United Developers."
macsoft;MacSoft;United States;Plymouth;01/01/1993;"Acquired by Destineer in 2003."
madcatz;Mad Catz;United States;San Diego;01/01/1989;"Defunct in 2017."
magicalcompany;Magical Company;Japan;Kobe;01/01/1985;"No longer publishes video games."
magnavox;Magnavox;United States;Napa;01/01/1911;"Also a video game developer. Acquired by Philips in 1974. Exited the video game industry in 1984."
mrchipsoftware;Mr Chip Software;UK;Chester;01/01/1982;"Ceased publishing video games in 1984; changed name to Magnetic Fields in 1988."
magnussoft;magnussoft;Germany;Kesselsdorf;01/01/1984;""
mandarinsoftware;Mandarin Software;UK;Adlington;01/01/1988;"Publishing label of Europress Software. Last game published in 1990."
mangagamer;MangaGamer;Japan;;01/01/2009;""
martech;Martech;UK;Pevensey Bay;01/01/1982;"Ceased publishing video games in 1989."
majescoentertainment;Majesco Entertainment;United States;Edison;01/01/1986;"Exited the video game industry in 2016."
marvelous;Marvelous;Japan;Tokyo;01/01/2011;"Also a video game developer."
marvelousentertainment;Marvelous Entertainment;Japan;Tokyo;01/01/1997;"Merged with AQ Interactive in 2011 to become Marvelous AQL (later Marvelous)."
masaya;Masaya;Japan;;01/01/1985;"Label of NCS until 2014, and of Extreme since then."
mastertronic;Mastertronic;UK;;01/01/1983;"Merged with Virgin Interactive in 1988, and subsequently absorbed into Sega in 1991."
mastiff;Mastiff;California;San Francisco;01/01/2002;"Also a video game developer."
matrixgames;Matrix Games;United States;Staten Island;01/01/2000;"Merged into Slitherine Software in 2010 and their games are published by Slitherine."
mattel;Mattel;United States;El Segundo;01/01/1945;"Exited the video game business in 1984."
maximumgames;Maximum Games;United States;Walnut Creek;01/01/2009;"Formerly Maximum Family Games"
maxis;Maxis;United States;Emeryville;01/01/1987;"Acquired by Electronic Arts and is now its development division. Their games are now published by Electronic Arts or EA Mobile."
maxdesign;Max Design;Austria;Schladming;01/01/1991;"Defunct in 2004."
mc2france;MC2 France;France;Paris;01/01/2003;"Currently publishes under the Microids label."
mclothlorien;MC Lothlorien;UK;;01/01/1982;"Defunct in 1990."
mecc;MECC;United States;Brooklyn Center;01/01/1973;"Defunct in 1999."
mediaworks;MediaWorks;Japan;Tokyo;01/01/1992;"Merged with ASCII Corporation in 2008 to become ASCII MediaWorks. In 2009, its game business was merged into Kadokawa Games."
mediafactory;Media Factory;Japan;Tokyo;01/01/1986;"Label of Recruit until 2011, and of Kadokawa Corporation since then. No longer publishes video games."
mediarings;Media Rings;Japan;Tokyo;01/01/1989;"Defunct in 2007."
megaenterprise;Mega Enterprise;South Korea;Seoul;01/01/1998;"Defunct in 2007."
melbournehouse;Melbourne House;Australia;Melbourne;01/01/1977;"Acquired by Krome Studios in 2006; closed in 2010."
meldac;Meldac;Japan;;01/01/1990;"No longer publishes video games."
metro3dinc;Metro3D, Inc.;United States;San Jose;01/01/1998;"Defunct in 2004."
metropolissoftware;Metropolis Software;Poland;Warsaw;01/01/1992;"Acquired by CD Projekt in 2008; defunct in 2009."
mgminteractive;MGM Interactive;United States;;01/01/1995;"Software publishing arm of Metro-Goldwyn-Meyer. Defunct in 2005."
microdeal;Microdeal;UK;St Austell;01/01/1981;"Rights sold to HiSoft Systems in 1989."
microds;Microïds;France;;01/01/1984;"Also a video game developer. Subsidiary of Anuman."
microillusions;MicroIllusions;United States;Granada Hills;01/01/1987;"Last game published in 1989."
micronetcoltd;Micronet co., Ltd.;Japan;Sapporo;01/01/1982;"No longer publishes video games."
microprose;MicroProse;United States;Hunt Valley;01/01/1982;"Acquired by Hasbro Interactive, name retired."
microsoft;Microsoft;United States;Redmond;01/01/1975;"Publishes games under the Microsoft Game Studios banner since 2002."
microsphere;Microsphere;UK;London;01/01/1982;"Defunct in 1987."
microcabin;Microcabin;Japan;;01/01/1982;"Acquired by AQ Interactive in 2008, and by Fields Corporation in 2011."
micrografx;Micrografx;United States;Richardson;01/01/1982;"Acquired by Corel in 2001."
micrographicimage;MicroGraphic Image;United States;;01/01/1983;"Defunct in 1984."
microgenius;Micro Genius;Taiwan;Taipei;01/01/1989;"Defunct in 1994."
micropower;Micro Power;UK;Leeds;01/01/1980;"Defunct in 1987."
midasinteractiveentertainment;Midas Interactive Entertainment;UK;Braintree;01/01/1999;"Still sells old games but no longer publishes new games under the name."
midwaygames;Midway Games;United States;Chicago;01/01/1988;"Also a video game developer. Assets acquired by Warner Bros. Interactive and THQ."
midwaymanufacturing;Midway Manufacturing;United States;Chicago;01/01/1958;"Also a video game developer. Acquired by Bally in 1969; Bally/Midway was in turn acquired by Williams Electronics in 1987. Reformed as Midway Games in 1988."
mikrogen;Mikro-Gen;UK;Bracknell;01/01/1981;"Acquired by Creative Sparks Distribution in 1987."
milestoneinc;MileStone Inc.;Japan;Tokyo;01/01/2003;"Closed in 2013."
millenniuminteractive;Millennium Interactive;UK;Cambridge;01/01/1988;"Acquired by Sony Interactive Entertainment in 1997."
miltonbradleycompany;Milton Bradley Company;United States;East Longmeadow;01/01/1860;"Acquired by Hasbro in 1984. Defunct in 2009."
minatosoft;Minato Soft;Japan;;01/01/2006;"Also publishes under the Whale label."
mindcraft;Mindcraft;United States;Torrance;01/01/1989;"Last game published in 1993."
mindscape;Mindscape;United States;Novato;01/01/1980;"No longer publishes video games."
minori;Minori;Japan;;01/01/2001;"Software division of CoMixWave until 2007."
mirrorsoft;Mirrorsoft;UK;London;01/01/1982;"Acquired by Acclaim Entertainment in 1992."
mitchellcorporation;Mitchell Corporation;Japan;Tokyo;01/01/1960;"Defunct in 2012."
mojang;Mojang;Sweden;Stockholm;01/01/2009;"Acquired by Microsoft in 2014."
monolithproductions;Monolith Productions;United States;Kirkland;01/01/1994;"Acquired by Warner Bros. in 2004."
montecristo;Monte Cristo;France;Paris;01/01/1995;"Defunct in 2010."
moonstone;Moonstone;Japan;;01/01/2003;"Also publishes under the Moonstone Cherry label."
mosaicpublishing;Mosaic Publishing;UK;London;01/01/1983;"Defunct in 1988."
moss;MOSS;Japan;Tokyo;01/01/1993;""
motowngames;Motown Games;United States;;01/01/1994;"Software publishing arm of Motown. Defunct in 1996."
mountainkingstudios;Mountain King Studios;United States;Chicago;01/01/1992;"No longer publishes video games."
mto;MTO;Japan;Yokohama;01/01/1996;""
mtvgames;MTV Games;United States;New York City;01/01/2006;""
mudduckproductions;Mud Duck Productions;United States;Rockville;01/01/2002;"Label of ZeniMax Media. Defunct in 2007."
musesoftware;Muse Software;United States;Monrovia;01/01/1978;"Also a video game developer."
mumbojumbo;MumboJumbo;United States;Dallas;01/01/2001;""
mystique;Mystique;United States;;01/01/1982;"Offshoot of Caballero Control Corporation and American Multiple Industries. Defunct in 1983."
namco;Namco;Japan;Tokyo;01/01/1955;"No longer publishes video games. Video game division merged with Bandai's video game operations as Namco Bandai Games."
natsumecoltd;Natsume Co Ltd;Japan;Tokyo;01/01/1987;"Renamed to Natsume-Atari in 2013 following merger with subsidiary Atari."
natsumeinc;Natsume Inc;California;Burlingame;01/01/1988;"Division of Natsume Co Ltd until 1995."
navel;Navel;Japan;;01/01/2003;"Label of Omega Vision, Inc."
naxatsoft;Naxat Soft;Japan;Tokyo;01/01/1988;"Defunct in 2015."
nbcuniversal;NBCUniversal;New York City;Midtown Manhattan;01/01/2004;"The game publishing division will be closed in 2019.[1]"
ncsoft;NCsoft;South Korea;Seoul;01/01/1997;""
neccorporation;NEC Corporation;Japan;Tokyo;01/01/1899;"Exited the video game industry in 1998."
nekoentertainment;Neko Entertainment;France;Montreuil;01/01/1999;"Defunct in 2017."
netdragon;Netdragon;China;Fuzhou;01/01/1997;"Also a video game developer."
netease;Netease;China;Guangzhou;01/01/1997;"Also a video game developer and online services company."
newgenerationsoftware;New Generation Software;UK;;01/01/1982;"Defunct in 1986."
newkidco;NewKidCo;United States;Manhattan;01/01/1998;"Defunct in 2005."
newworldcomputing;New World Computing;United States;Agoura Hills;01/01/1984;"Also a video game developer. Purchased by 3DO."
nexon;Nexon;South Korea;Seoul;01/01/1994;"Also a video game developer."
nihonfalcom;Nihon Falcom;Japan;;01/01/1981;""
nintendo;Nintendo;Japan;Kyoto;01/01/1889;"Also a video game developer."
nipponichisoftware;Nippon Ichi Software;Japan;;01/01/1994;"Also a video game developer."
nihonbussan;Nihon Bussan;Japan;;01/01/1970;"A.K.A. Nichibutsu"
nitroplus;Nitroplus;Japan;Tokyo;01/01/2000;""
novagensoftware;Novagen Software;UK;Birmingham;01/01/1983;"Defunct in 1992."
nokia;Nokia;Finland;Espoo;01/01/1865;""
nordcurrent;Nordcurrent;Lithuania;Vilnius;01/01/2002;""
novalogic;NovaLogic;United States;Calabasas;01/01/1985;"Acquired by THQ Nordic in 2016."
ntdec;NTDEC;Taiwan;Taipei;01/01/1983;"Defunct in 1993."
nuttingassociates;Nutting Associates;United States;Mountain View;01/01/1965;"Defunct in 1976."
o3entertainment;O3 Entertainment;United States;Santa Clara;01/01/2001;""
oceansoftware;Ocean Software;UK;Manchester;01/01/1984;"Acquired by Infogrames"
oceanstatepublishing;Ocean State Publishing;United States;Woonsocket;01/01/1990;"Label of Rhode Island Soft Systems. Acquired by Freeze.com in 2003."
oculusstudios;Oculus Studios;United States;Irvine;01/01/2014;"Game publishing arm of Oculus VR."
odincomputergraphics;Odin Computer Graphics;UK;Liverpool;01/01/1985;"Defunct in 1988, re-established in 2005."
operasoft;Opera Soft;Spain;;01/01/1986;"Defunct in 1992."
orbitalmedia;Orbital Media;Canada;Calgary;01/01/2003;"No longer publishes video games."
originsystems;Origin Systems;United States;Austin;01/01/1983;"Also a video game developer. Acquired by Electronic Arts."
orioninteractive;Orion Interactive;United States;;01/01/1996;"Defunct following acquisition by Metro-Goldwyn-Meyer in 1997."
outoftheparkdevelopments;Out of the Park Developments;Germany;Hollern-Twielenfleth;01/01/1999;""
0verflow;0verflow;Japan;Tokyo;01/01/1997;""
oxygengames;Oxygen Games;UK;Northamptonshire;01/01/2004;"Also a video game developer."
ozisoft;OziSoft;Australia;Sydney;01/01/1982;"Acquired by Infogrames in 1998, and Namco Bandai Games in 2009."
pacificnovelty;Pacific Novelty;United States;;01/01/1980;"Last game published in 1983."
packinvideo;Pack-In-Video;Japan;;01/01/1970;"Acquired by Victor Entertainment in 1996; became Victor Interactive Software."
palacesoftware;Palace Software;UK;London;01/01/1983;"Acquired by Titus Software in 1991."
palette;Palette;Japan;Tokyo;01/01/2002;""
panasonic;Panasonic;Japan;Osaka;01/01/1918;"No longer publishes video games."
pandaentertainment;Panda Entertainment;Taiwan;;01/01/1993;"Last game published in 1997."
panesiantaiwan;Panesian Taiwan;Taiwan;;01/01/1990;"Publisher of eroge for the Family Computer and NES"
panthergames;Panther Games;Australia;Canberra;01/01/1985;"No longer publishes video games. Their games are now published by Lock 'n Load Publishing."
panthersoftware;Panther Software;Japan;;01/01/1987;"Last game published in 2004."
paradoxinteractive;Paradox Interactive;Sweden;Stockholm;01/01/1998;"Also a video game developer."
paragonsoftware;Paragon Software;United States;Greensburg;01/01/1985;"Defunct in 1992."
parkerbrothers;Parker Brothers;United States;Beverly;01/01/1883;"Acquired by Hasbro in 1991, which continued to use it as a label on some video games until 1994."
parsoftinteractive;Parsoft Interactive;United States;;01/01/1991;"Defunct in 2002."
penguinsoftware;Penguin Software;United States;Geneva;01/01/1978;""
pentavision;Pentavision;South Korea;;01/01/2003;"Division of Neowiz Games. Merged with GameOn Studios in 2012."
perfectworld;Perfect World;China;Beijing;01/01/2004;"Also a video game developer. Subsidiaries include Runic Games and Cryptic Studios."
personalsoftwareservices;Personal Software Services;UK;Coventry;01/01/1981;"Acquired by Mirrorsoft in 1987."
petitferret;Petit Ferret;Japan;;01/01/2002;"Defunct."
petroglyphgames;Petroglyph Games;US;Las Vegas;01/01/2003;"Also a video game developer."
pfmagic;PF Magic;United States;San Francisco;01/01/1991;"Acquired by Ubisoft in 1998."
phantagram;Phantagram;South Korea;;01/01/1994;""
